epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0187,3.01391,9.24596,2.57609,0,0,0,0,3.31231,8.04188,3.77293,7e-05,7e-05,0.09307
2,80.325,2.37545,7.70625,2.14589,0,0,0,0,3.28872,5.95917,3.64429,0.00014703,0.00014703,0.085147
3,119.775,1.71381,6.28926,1.7984,0,0,0,0,3.2981,5.74521,3.39975,0.000220892,0.000220892,0.0772209
4,158.99,1.53812,5.25645,1.63336,1e-05,0.00826,2e-05,0,3.21648,5.59202,3.01235,0.000291586,0.000291586,0.0692916
5,197.707,1.42355,4.36726,1.48183,0.00013,0.0101,0.00016,3e-05,3.39911,5.04708,3.39293,0.000359112,0.000359112,0.0613591
6,236.171,1.33777,3.70247,1.38811,0.02757,0.09268,0.02125,0.0087,3.16635,5.22089,3.07317,0.00042347,0.00042347,0.0534235
7,274.655,1.28848,3.25975,1.3399,0.02213,0.35964,0.07229,0.03329,2.67496,4.6934,2.37895,0.00048466,0.00048466,0.0454847
8,312.973,1.32761,2.97199,1.34844,0.40285,0.13348,0.10417,0.04774,2.1633,4.33087,1.94636,0.000542682,0.000542682,0.0375427
9,351.393,1.25698,2.80698,1.29024,0.41439,0.17893,0.08668,0.03962,2.30104,4.13236,2.04598,0.000597536,0.000597536,0.0295975
10,389.191,1.25383,2.63575,1.29666,0.32002,0.29551,0.10946,0.05464,2.04229,3.57698,1.87293,0.000649222,0.000649222,0.0216492
11,426.428,1.18478,2.50005,1.25658,0.29929,0.4014,0.158,0.08286,1.74641,2.79841,1.70922,0.00069774,0.00069774,0.0136977
12,464.082,1.17318,2.37561,1.25549,0.29705,0.39483,0.15237,0.0919,1.47608,2.57874,1.47075,0.00074309,0.00074309,0.00574309
13,502.771,1.16256,2.29077,1.24617,0.30783,0.45117,0.1637,0.10333,1.39867,2.59416,1.42184,0.0007624,0.0007624,0.0007624
14,541.799,1.14637,2.23802,1.23358,0.42735,0.41344,0.20033,0.12294,1.43324,2.77543,1.39977,0.0007426,0.0007426,0.0007426
15,580.691,1.10973,2.1421,1.22547,0.38591,0.50077,0.17181,0.10494,1.4512,2.95971,1.40992,0.0007228,0.0007228,0.0007228
16,619.51,1.08105,2.09567,1.22213,0.40316,0.46076,0.19392,0.12845,1.27278,2.74938,1.35956,0.000703,0.000703,0.000703
17,658.275,1.05006,2.04024,1.20824,0.42923,0.41219,0.19284,0.12654,1.27727,2.55725,1.36598,0.0006832,0.0006832,0.0006832
18,696.806,1.04636,1.97404,1.1986,0.29811,0.38041,0.20288,0.1403,1.32699,2.87596,1.43651,0.0006634,0.0006634,0.0006634
19,735.286,1.02691,1.95427,1.19622,0.20556,0.42966,0.22523,0.14744,1.28034,2.83452,1.36842,0.0006436,0.0006436,0.0006436
